title,authors,publish_year,subject,edition_count,key,id,entity_type,date_ingested,confidence_score
Learning Python,"Mark Lutz, David Ascher",1999,python,22,/works/OL2784125W,book_learningpython_1999,book,2025-05-19,1.0
Python,Mark Lutz,1998,python,13,/works/OL2784127W,book_python_1998,book,2025-05-19,1.0
Think Python,"Allen B. Downey, Allen Downey",2009,python,11,/works/OL16976951W,book_thinkpython_2009,book,2025-05-19,1.0
Python For Bioinformatics,Sebastian Bassi,2009,python,10,/works/OL17795703W,book_pythonforbioinformat_2009,book,2025-05-19,1.0
Introduction To Python For Science And Engineering,David J. Pine,2018,python,10,/works/OL21349037W,book_introductiontopython_2018,book,2025-05-19,1.0
Programming Python,Mark Lutz,1996,python,10,/works/OL2784126W,book_programmingpython_1996,book,2025-05-19,1.0
Mining The Social Web,Matthew A. Russell,2011,python,9,/works/OL15667639W,book_miningthesocialweb_2011,book,2025-05-19,1.0
Head First Python,Paul Barry,2010,python,9,/works/OL15664278W,book_headfirstpython_2010,book,2025-05-19,1.0
Python In A Nutshell,"Alex Martelli, Anna Ravenscroft, Steve Holden",2002,python,8,/works/OL6045694W,book_pythoninanutshell_2002,book,2025-05-19,1.0
Think Stats,Allen B. Downey,2011,python,8,/works/OL16223034W,book_thinkstats_2011,book,2025-05-19,1.0
Python For Data Analysis,Wes McKinney,2012,python,8,/works/OL17422847W,book_pythonfordataanalysi_2012,book,2025-05-19,1.0
Making Music With Computers,Bill Manaris,2013,python,7,/works/OL23330617W,book_makingmusicwithcompu_2013,book,2025-05-19,1.0
Python Cookbook,"Alex Martelli, David Ascher, David Beazley, Brian K. Jones",2002,python,7,/works/OL14873289W,book_pythoncookbook_2002,book,2025-05-19,1.0
Tour Of Data Science,Nailong Zhang,2020,python,6,/works/OL21703042W,book_tourofdatascience_2020,book,2025-05-19,1.0
Fluent Python,Luciano Ramalho,2015,python,6,/works/OL19932156W,book_fluentpython_2015,book,2025-05-19,1.0
Python For Everyone,"Cay S. Horstmann, Rance D. Necaise",2013,python,6,/works/OL19548251W,book_pythonforeveryone_2013,book,2025-05-19,1.0
Natural Language Processing With Python,"Edward Loper, Steven Bird, Ewan Klein",2009,python,6,/works/OL14940051W,book_naturallanguageproce_2009,book,2025-05-19,1.0
Twisted Network Programming Essentials,"Abe Fettig, Jessica McKellar",2005,python,6,/works/OL8167555W,book_twistednetworkprogra_2005,book,2025-05-19,1.0
Survival Analysis With Python,Avishek Nag,2021,python,5,/works/OL25347363W,book_survivalanalysiswith_2021,book,2025-05-19,1.0
The Book Of Python,"John A. Goebel, Adil Hasan, Francesco Tehrani",2006,python,5,/works/OL5841511W,book_thebookofpython_2006,book,2025-05-19,1.0
